sep=;
Change-Id=I8ec7b89d7e23170c682972b5d1a15b0bafc10f81; subject=net/mlx5: Split the activate lag function into two routines; feature=mlx5_vf_lag; upstream_status=accepted; general=upstream commit ID: 8252cf728ce2, tag: v5.0-rc1;
Change-Id=Ie3392f2692e62042ae758f281372983903ee5dba; subject=net/mlx5e: Add helper function to detect if device is eswitch representor; feature=mlx5_asap; upstream_status=ignore; general=;
Change-Id=Ic0ca0d2f370606cfc49c972fdb18e9732a21a30c; subject=net/mlx5e: Update check for merged eswitch device; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: 68931c7dd71e, tag: v5.1-rc1;
Change-Id=Ia199287b0af143181a7d32d7d5f6bb7edc211e12; subject=BACKPORTS: update; feature=backports; upstream_status=ignore; general=;
Change-Id=I588d71e2004cf237af68ea97037c83b60ec8d715; subject=compat/rdma.m4: Add test for fib_nh_notifier_info; feature=backports; upstream_status=ignore; general=;
Change-Id=I01730f281ae891355759763c824a2447ae3c166a; subject=metadata: update; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Ibb9b1d5cd7e1820161ca4b09f7e87076c83274b5; subject=ofed_scripts: Update vf-net-link-name.sh; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Ib46d332ff33f3b529effe33bf4d53f7868c30a98; subject=compat/rdma.m4: Fix fib_nh_notifier_info test; feature=backports; upstream_status=ignore; general=;
Change-Id=I35377d54bf8ef137579e6ed55b26fe872a20b77e; subject=ofed_scripts: Update vf-net-link-name.sh; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Icecbab1d953d9cf7a5a02f35ee4189e4896e85fe; subject=net/mlx5e: Properly get the PF number phys port name ndo; feature=mlx5_vf_lag; upstream_status=accepted; general=upstream commit ID: 5b33eba99fbc, tag: v5.1-rc1;
Change-Id=I27dac969e5d81cf5a6c79fdfe8c518c0ea7d2058; subject=net/mlx5: Remove redundant lag function to get pf num; feature=mlx5_vf_lag; upstream_status=accepted; general=upstream commit ID: 6ffb6303426c, tag: v5.1-rc1;
Change-Id=Ibdc42c3a7a3baee2a7b65240c0b71601e7548564; subject=net/mlx5e: Set peer flow needed also for multipath; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: 10fbb1cdd0a3, tag: v5.1-rc1;
Change-Id=I78b10de8a9c40baa9c849678d9d878dce18e7304; subject=net/mlx5e: Re-attempt to offload flows on multipath port affinity events; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: b4a23329e2e9, tag: v5.1-rc1;
Change-Id=I77d1d1309427413442ac777f0aec8c8507290ba8; subject=BACKPORTS: Update; feature=backports; upstream_status=ignore; general=;
Change-Id=I75946ee440cc98a4f1d26705701a5d5e26056f34; subject=Update meatadata; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=Id632debbe4121e794a769b2239a4ff822b8e6546; subject=net/mlx5e: Don't inherit flow flags on peer flow creation; feature=mlx5_asap; upstream_status=accepted; general=upstream commit ID: 95dc1902c373, tag: v5.1-rc1;
Change-Id=I80a910760fdec955589d179f2d1857cfd49ee6c2; subject=BACKPORTS: fix multiple compile warnings; feature=backports; upstream_status=ignore; general=;
Change-Id=I12521ef1d9d359eed7204de8c58e701253b9c4d3; subject=net/mlx5e: Fix query counter if flow is offloaded; feature=mlx5_asap; upstream_status=ignore; general=;
Change-Id=I9d6d2075fbd6349612884f7f8dd875343127604a; subject=compat: Fix vxlan.h compat; feature=backports; upstream_status=ignore; general=;
