sep=;
Change-Id=Icb679f191b7768901b756d6c6c1f79488c6818f9; subject=net/mlx5e: Don't match on vlan non-existence if ethertype is wildcarded; feature=rebase; upstream_status=accepted; general=upstream commit ID: d3a80bb5a3ea, tag: v4.20-rc4;
Change-Id=Ie474eb032f45c8bb0003b5c569552aa8ddaa0ab0; subject=net/mlx5e: Add sriov and udp tunnel ndo support for the uplink rep; feature=mlx5_asap; upstream_status=accepted; general=tag: v5.0-rc1;
Change-Id=Id4f2fbd5253f19e0a0e4b00131514c6e888fcc0e; subject=net/mlx5e: Expose ethtool pause and link functions to mlx5e callers; feature=mlx5_asap; upstream_status=accepted; general=tag: v5.0-rc1;
Change-Id=Ifaf7727a129526efa0560d0b0c72433babf0ea48; subject=net/mlx5e: Add some ethtool port control entries to the uplink rep netdev; feature=mlx5_asap; upstream_status=accepted; general=tag: v5.0-rc1;
Change-Id=I5a967ee8e8e228c68e82509a7e90a4015480f009; subject=BACKPORTS: Update en.h for uplink rep changes; feature=backports; upstream_status=ignore; general=;
Change-Id=Ic658ed1b1e8e7b0aba960a4172f8412b9cdefdde; subject=BACKPORTS: Update en_ethtool.c for uplink rep changes; feature=backports; upstream_status=ignore; general=;
Change-Id=I036df4798bd8eb6219afd888969f3f9a1a26782e; subject=BACKPORTS: Update en_main.c for uplink rep changes; feature=backports; upstream_status=ignore; general=;
Change-Id=Iadcd8d1a5452a34eac717265379c817590a40b11; subject=BACKPORTS: Update en_rep.c for uplink rep changes; feature=backports; upstream_status=ignore; general=;
Change-Id=I18d1e0f5a0a5a0ef91646862ab227b174888e796; subject=BACKPORTS: Update en_rep.h for uplink rep changes; feature=backports; upstream_status=ignore; general=;
Change-Id=Ibae710e90fc4211c82447b8e2f23935a05c82a29; subject=BACKPORTS: Update en_tc.c for uplink rep changes; feature=backports; upstream_status=ignore; general=;
Change-Id=I02c444c8687cf49dc0df0e2a84e291c7a6034403; subject=BACKPORTS: Update en_tc.h for uplink rep changes; feature=backports; upstream_status=ignore; general=;
Change-Id=I9a3c3d2016d4096ff7436d2a06609fe01ae5eb81; subject=update meta-data for uplink rep series; feature=ofed_scripts; upstream_status=ignore; general=;
Change-Id=I0f410c2c8372fdbfd85cfa94871f0875f7b0ce60; subject=net/mlx5e: Allow vlans on e-switch uplink reps; feature=mlx5_asap; upstream_status=accepted; general=tag: v5.0-rc5;
Change-Id=Ieb4706c4df047fbae935a76816edd1a83c067eb3; subject=net/mlx5e: Move to use common phys port names for vport representors; feature=mlx5_asap; upstream_status=accepted; general=tag: v5.0-rc5;
Change-Id=I002d547a538887ef7cda1c5c244d489f103037c4; subject=net/mlx5e: Unblock setting vid 0 for VFs through the uplink rep; feature=mlx5_asap; upstream_status=accepted; general=tag: v5.0-rc5;
Change-Id=If2b9297a75eb0a9faba8f36067c655ea4344c65b; subject=BACKPORTS: Update en_rep.c for more uplink rep changes; feature=backports; upstream_status=ignore; general=;
Change-Id=I443d9b8dc74b5701548c067916a2292a0e25d16b; subject=BACKPORTS: Update lag.c for more uplink rep changes; feature=backports; upstream_status=ignore; general=;
Change-Id=I44635632e02ec1970a5b00708309e52e35fd7586; subject=update meta-data for uplink rep series - phase II; feature=ofed_scripts; upstream_status=ignore; general=;
